iter	Passed	Remaining
958	18206	15966
959	18221	15944
960	18238	15923
961	18258	15904
962	18272	15881
963	18287	15859
964	18307	15840
965	18322	15819
966	18342	15800
967	18362	15782
968	18380	15762
969	18398	15742
970	18417	15724
971	18435	15704
972	18453	15684
973	18472	15665
974	18494	15649
975	18510	15627
976	18528	15607
977	18544	15586
978	18559	15564
979	18576	15543
980	18595	15524
981	18612	15504
982	18629	15483
983	18646	15463
984	18666	15445
985	18684	15425
986	18706	15408
987	18729	15392
988	18747	15373
989	18769	15357
990	18791	15340
991	18812	15322
992	18835	15307
993	18853	15287
994	18877	15272
995	18892	15250
996	18916	15235
997	18932	15214
998	18957	15200
999	18978	15183
1000	18998	15165
1001	19017	15145
1002	19036	15126
1003	19063	15113
1004	19082	15095
1005	19098	15074
1006	19115	15053
1007	19136	15035
1008	19152	15014
1009	19171	14995
1010	19191	14977
1011	19208	14957
1012	19231	14940
1013	19253	14924
1014	19280	14911
1015	19298	14891
1016	19318	14873
1017	19341	14857
1018	19369	14845
1019	19389	14827
1020	19409	14808
1021	19430	14791
1022	19449	14772
1023	19470	14755
1024	19487	14734
1025	19512	14719
1026	19532	14701
1027	19550	14681
1028	19576	14668
1029	19597	14650
1030	19621	14634
1031	19646	14620
1032	19663	14600
1033	19677	14577
1034	19706	14565
1035	19724	14545
1036	19744	14527
1037	19761	14507
1038	19779	14487
1039	19799	14468
1040	19819	14450
1041	19841	14433
1042	19859	14414
1043	19874	14391
1044	19896	14375
1045	19911	14353
1046	19928	14332
1047	19945	14311
1048	19962	14291
1049	19980	14271
1050	20001	14253
1051	20019	14234
1052	20032	14211
1053	20047	14189
1054	20067	14171
1055	20084	14150
1056	20101	14130
1057	20124	14113
1058	20143	14094
1059	20161	14074
1060	20181	14056
1061	20199	14036
1062	20218	14017
1063	20233	13995
1064	20249	13974
1065	20264	13953
1066	20282	13933
1067	20299	13913
1068	20319	13894
1069	20334	13873
1070	20352	13853
1071	20369	13832
1072	20388	13814
1073	20408	13795
1074	20427	13776
1075	20447	13758
1076	20479	13748
1077	20498	13728
1078	20517	13709
1079	20538	13692
1080	20554	13671
1081	20574	13653
1082	20595	13635
1083	20610	13613
1084	20626	13592
1085	20647	13574
1086	20663	13553
1087	20682	13535
1088	20700	13515
1089	20721	13497
1090	20742	13479
1091	20767	13464
1092	20785	13445
1093	20805	13426
1094	20821	13405
1095	20847	13390
1096	20865	13371
1097	20885	13353
1098	20907	13335
1099	20925	13316
1100	20944	13297
1101	20963	13277
1102	20978	13256
1103	20998	13238
1104	21017	13218
1105	21033	13198
1106	21052	13179
1107	21071	13160
1108	21089	13140
1109	21108	13121
1110	21128	13102
1111	21151	13086
1112	21170	13067
1113	21191	13049
1114	21209	13029
1115	21225	13009
1116	21246	12991
1117	21268	12974
1118	21288	12955
1119	21307	12936
1120	21322	12915
1121	21338	12894
1122	21353	12873
1123	21378	12857
1124	21395	12837
1125	21413	12817
1126	21433	12799
1127	21452	12780
1128	21468	12759
1129	21488	12740
1130	21509	12723
1131	21531	12705
1132	21545	12684
1133	21569	12667
1134	21586	12647
1135	21604	12628
1136	21628	12611
1137	21650	12594
1138	21671	12576
1139	21692	12558
1140	21708	12537
1141	21726	12518
1142	21743	12498
1143	21768	12482
1144	21790	12465
1145	21806	12444
1146	21826	12425
1147	21844	12406
1148	21865	12388
1149	21884	12369
1150	21908	12353
1151	21922	12331
1152	21943	12313
1153	21969	12298
1154	21988	12279
1155	22005	12258
1156	22024	12240
1157	22047	12223
1158	22064	12202
1159	22083	12184
1160	22100	12163
1161	22120	12145
1162	22141	12127
1163	22162	12109
1164	22184	12092
1165	22209	12076
1166	22228	12057
1167	22247	12038
1168	22267	12019
1169	22292	12003
1170	22313	11985
1171	22334	11967
1172	22350	11947
1173	22362	11924
1174	22382	11905
1175	22397	11884
1176	22416	11865
1177	22435	11846
1178	22456	11827
1179	22469	11806
1180	22486	11786
1181	22509	11769
1182	22525	11748
1183	22545	11729
1184	22564	11710
1185	22582	11691
1186	22604	11673
1187	22630	11658
1188	22647	11637
1189	22662	11616
1190	22674	11594
1191	22697	11577
1192	22713	11556
1193	22730	11536
1194	22750	11518
1195	22769	11498
1196	22787	11479
1197	22803	11458
1198	22821	11439
1199	22846	11423
1200	22863	11403
1201	22883	11384
1202	22904	11366
1203	22929	11350
1204	22944	11329
1205	22961	11309
1206	22979	11289
1207	22999	11271
1208	23017	11251
1209	23036	11232
1210	23053	11212
1211	23069	11192
1212	23084	11171
1213	23109	11154
1214	23128	11135
1215	23147	11117
1216	23165	11097
1217	23182	11077
1218	23202	11058
1219	23219	11038
1220	23242	11021
1221	23260	11002
1222	23279	10983
1223	23296	10963
1224	23312	10942
1225	23331	10923
1226	23354	10906
1227	23371	10886
1228	23394	10869
1229	23412	10849
1230	23434	10832
1231	23450	10811
1232	23470	10793
1233	23493	10775
1234	23509	10755
1235	23528	10736
1236	23543	10715
1237	23561	10696
1238	23584	10678
1239	23603	10659
1240	23622	10640
1241	23641	10621
1242	23655	10600
1243	23670	10579
1244	23691	10561
1245	23706	10540
1246	23726	10521
1247	23748	10504
1248	23765	10484
1249	23785	10465
1250	23807	10447
1251	23827	10429
1252	23846	10410
1253	23865	10391
1254	23885	10372
1255	23905	10353
1256	23927	10336
1257	23948	10318
1258	23971	10300
1259	23992	10282
1260	24011	10263
1261	24036	10247
1262	24052	10226
1263	24073	10208
1264	24093	10189
1265	24115	10171
1266	24133	10152
1267	24154	10134
1268	24177	10117
1269	24193	10096
1270	24209	10076
1271	24227	10056
1272	24246	10037
1273	24280	10024
1274	24298	10005
1275	24318	9986
1276	24335	9966
1277	24353	9947
1278	24372	9927
1279	24388	9907
1280	24402	9886
1281	24421	9867
1282	24442	9849
1283	24458	9829
1284	24479	9811
1285	24498	9791
1286	24523	9775
1287	24542	9756
1288	24560	9736
1289	24580	9717
1290	24600	9699
1291	24621	9680
1292	24641	9662
1293	24660	9643
1294	24688	9627
1295	24700	9605
1296	24721	9587
1297	24745	9570
1298	24770	9553
1299	24793	9536
1300	24810	9515
1301	24828	9496
1302	24850	9478
1303	24871	9460
1304	24892	9442
1305	24913	9423
1306	24932	9404
1307	24951	9385
1308	24973	9367
1309	24994	9349
1310	25013	9330
1311	25031	9310
1312	25049	9290
1313	25078	9275
1314	25095	9255
1315	25122	9239
1316	25137	9218
1317	25157	9200
1318	25180	9182
1319	25197	9162
1320	25215	9143
1321	25231	9123
1322	25256	9106
1323	25272	9085
1324	25290	9066
1325	25309	9047
1326	25327	9027
1327	25347	9009
1328	25364	8989
1329	25384	8970
1330	25403	8951
1331	25426	8933
1332	25450	8916
1333	25471	8897
1334	25488	8877
1335	25509	8859
1336	25529	8840
1337	25558	8825
1338	25577	8806
1339	25599	8787
1340	25617	8768
1341	25637	8749
1342	25655	8730
1343	25678	8712
1344	25700	8694
1345	25720	8675
1346	25739	8656
1347	25755	8636
1348	25772	8616
1349	25790	8596
1350	25811	8578
1351	25825	8557
1352	25845	8538
1353	25861	8518
1354	25883	8500
1355	25905	8482
1356	25923	8462
1357	25948	8445
1358	25969	8427
1359	25991	8409
1360	26012	8390
1361	26030	8370
1362	26051	8352
1363	26071	8333
1364	26091	8314
1365	26112	8296
1366	26132	8277
1367	26147	8256
1368	26166	8237
